Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11717.00,0.00,0.00,-0.05,0.00,0.00,-7.78,0.00,0.00,-1111.17,0.00,0.00,-0.00,0.00,0.01,-0.00,10.00
11732.00,0.00,0.00,-0.11,0.00,0.00,-3.44,0.00,0.00,289.21,-0.00,0.00,-0.00,-0.00,0.00,-0.00,7.00
11739.00,0.00,0.00,-0.18,0.00,0.00,-10.80,0.00,0.00,-1051.51,-0.00,0.00,-0.00,-0.00,0.00,0.00,7.00
11746.00,0.00,0.00,-0.09,0.00,0.00,12.64,0.00,0.00,3348.47,-0.00,0.00,-0.00,-0.00,-0.00,0.00,9.00
11755.00,0.00,0.00,-0.13,0.00,0.00,-4.60,0.00,0.00,-1915.09,-0.00,0.00,0.00,-0.00,0.00,0.00,6.00
11761.00,0.00,0.00,-0.17,0.00,0.00,-5.35,0.00,0.00,-125.04,-0.00,0.00,0.00,-0.00,0.00,-0.00,16.00
11777.00,0.00,0.00,-0.18,0.00,0.00,-0.64,0.00,0.00,294.43,-0.00,0.00,0.00,-0.00,0.00,0.00,6.00
11783.00,0.00,0.00,-0.10,0.00,0.00,12.68,0.00,0.00,2219.84,-0.00,0.00,0.00,-0.00,0.00,0.00,5.00
11788.00,0.00,0.00,-0.14,0.00,0.00,-6.97,0.00,0.00,-3931.11,-0.00,0.00,0.00,-0.00,0.00,0.00,9.00
11797.00,0.00,0.00,-0.08,0.00,0.00,6.56,0.00,0.00,1504.07,-0.00,0.00,0.00,-0.00,0.00,0.00,8.00
11805.00,0.00,0.00,0.00,0.00,0.00,9.73,0.00,0.00,395.75,-0.00,0.00,0.00,0.00,0.00,0.00,6.00
11816.00,0.00,0.00,-0.01,0.00,0.00,-1.30,0.00,0.00,-1002.60,-0.00,0.00,0.00,0.00,-0.00,0.00,7.00
11823.00,0.00,0.00,0.09,0.00,0.00,14.93,0.00,0.00,2317.93,-0.00,0.00,0.00,0.00,-0.00,0.00,6.00
11829.00,0.00,0.00,-0.07,0.00,0.00,-26.77,0.00,0.00,-6948.91,-0.00,0.00,0.00,0.00,-0.00,0.00,7.00
11836.00,0.00,0.00,0.05,0.00,0.00,16.34,0.00,0.00,6158.68,-0.00,0.00,0.00,0.00,-0.00,0.00,6.00
11842.00,0.00,0.00,-0.02,0.00,0.00,-11.57,0.00,0.00,-4652.04,-0.00,0.00,0.00,0.00,-0.00,0.00,7.00
11849.00,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.00,2206.30,-0.00,0.00,0.00,0.00,0.00,0.00,8.00
11857.00,0.00,0.00,-0.03,0.00,0.00,-4.07,0.00,0.00,-993.33,-0.00,0.00,0.00,0.00,0.00,0.00,17.00
11874.00,0.00,0.00,-0.06,0.00,0.00,-1.89,0.00,0.00,128.41,-0.00,0.00,0.00,-0.00,-0.00,0.00,6.00
11880.00,0.00,0.00,0.06,0.00,0.00,20.14,0.00,0.00,3671.01,-0.00,-0.00,0.00,-0.00,-0.00,0.00,7.00
11887.00,0.00,0.00,-0.02,0.00,0.00,-11.57,0.00,0.00,-4530.26,-0.00,-0.00,0.00,0.00,-0.00,0.00,8.00
11899.00,0.00,0.00,0.08,0.00,0.00,8.67,0.00,0.00,1687.38,-0.00,-0.00,0.00,0.00,-0.00,0.00,9.00
11908.00,0.00,0.00,0.01,0.00,0.00,-8.37,0.00,0.00,-1894.03,-0.00,-0.00,0.00,0.00,-0.00,0.00,8.00
