Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s)
11619.00,0.00,0.00,0.01,0.00,0.00,4.27,0.00,0.00,1356.18,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11627.00,0.00,0.00,-0.04,0.00,0.00,-5.64,0.00,0.00,-1239.08,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11631.00,0.00,0.00,0.00,0.00,0.00,10.02,0.00,0.00,3915.54,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11640.00,0.00,0.00,0.01,0.00,0.00,1.38,0.00,0.00,-960.41,-0.00,-0.00,0.00,0.00,0.00,0.00
11647.00,0.00,0.00,0.01,0.00,0.00,-1.04,0.00,0.00,-344.59,-0.00,-0.00,0.00,0.00,0.00,0.00
11663.00,0.00,0.00,-0.03,0.00,0.00,-2.10,0.00,0.00,-66.77,-0.00,-0.00,0.00,-0.00,-0.00,-0.00
11670.00,0.00,0.00,0.03,0.00,0.00,7.51,0.00,0.00,1373.02,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11679.00,0.00,0.00,-0.01,0.00,0.00,-4.10,0.00,0.00,-1289.25,-0.00,-0.00,0.00,-0.00,0.00,-0.00
11690.00,0.00,0.00,0.03,0.00,0.00,3.36,0.00,0.00,677.86,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00
11700.00,0.00,0.00,-0.03,0.00,0.00,-5.99,0.00,0.00,-935.39,-0.00,-0.00,0.00,0.00,-0.00,0.00
11705.00,0.00,0.00,0.01,0.00,0.00,8.80,0.00,0.00,2958.10,-0.00,-0.00,0.00,-0.00,0.00,0.00
11711.00,0.00,0.00,-0.09,0.00,0.00,-16.57,0.00,0.00,-4228.06,-0.00,-0.00,0.00,-0.00,0.00,0.00
11719.00,0.00,0.00,0.06,0.00,0.00,18.92,0.00,0.00,4435.80,-0.00,-0.00,0.00,-0.00,0.00,0.00
11727.00,0.00,0.00,0.05,0.00,0.00,-0.93,0.00,0.00,-2480.31,-0.00,-0.00,0.00,0.00,-0.00,-0.00
11732.00,0.00,0.00,0.03,0.00,0.00,-5.60,0.00,0.00,-933.93,-0.00,-0.00,0.00,0.00,-0.00,0.00
11740.00,0.00,0.00,0.02,0.00,0.00,-1.01,0.00,0.00,573.46,-0.00,-0.00,0.00,0.00,-0.00,0.00
11749.00,0.00,0.00,0.05,0.00,0.00,3.14,0.00,0.00,460.55,-0.00,-0.00,0.00,0.00,-0.00,0.00
