Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
12612.00,0.00,0.00,0.00,0.01,-0.00,-0.00,0.53,-0.16,-0.11,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
12628.00,0.00,0.00,0.00,0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
12638.00,0.00,0.00,0.00,0.01,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
12648.00,0.00,0.00,0.00,0.00,-0.03,-0.00,-0.90,-2.80,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,16.00
12664.00,0.00,0.00,0.00,0.00,-0.03,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,10.00
12674.00,0.00,0.00,0.00,0.00,-0.03,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
12684.00,0.00,0.00,0.00,0.00,-0.03,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
12694.00,0.00,0.00,0.00,0.00,-0.03,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
12704.00,0.00,0.01,0.01,-0.01,-0.02,0.00,-0.80,0.70,0.20,0.00,-0.00,0.00,-0.00,0.00,-0.00,18.00
12722.00,0.00,0.01,0.01,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
12732.00,0.00,0.01,0.01,-0.01,-0.02,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,10.00
12747.00,0.01,0.01,0.01,0.00,-0.01,-0.00,0.53,1.27,-0.07,0.00,-0.00,0.00,-0.00,-0.00,0.00,17.00
12764.00,0.01,0.01,0.01,0.00,-0.01,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
