Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11683.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,41.79,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11697.00,0.00,0.00,0.02,0.00,0.00,1.43,0.00,0.00,84.47,0.00,-0.00,-0.00,0.00,-0.00,-0.00,7.00
11704.00,0.00,0.00,0.01,0.00,0.00,-1.68,0.00,0.00,-444.23,0.00,-0.00,-0.00,0.00,-0.00,-0.00,7.00
11711.00,0.00,0.00,-0.04,0.00,0.00,-6.84,0.00,0.00,-737.37,0.00,-0.00,-0.00,0.00,0.00,-0.00,8.00
11719.00,0.00,0.00,-0.07,0.00,0.00,-4.48,0.00,0.00,294.99,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,7.00
11726.00,0.00,0.00,-0.02,0.00,0.00,7.10,0.00,0.00,1653.52,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,16.00
11742.00,0.00,0.00,0.04,0.00,0.00,3.78,0.00,0.00,-207.18,0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
11751.00,0.00,0.00,-0.07,0.00,0.00,-12.20,0.00,0.00,-1775.75,0.00,-0.00,-0.00,0.00,0.00,-0.00,5.00
11756.00,0.00,0.00,-0.01,0.00,0.00,13.21,0.00,0.00,5081.11,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11762.00,0.00,0.00,-0.05,0.00,0.00,-7.02,0.00,0.00,-3370.23,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11770.00,0.00,0.00,0.02,0.00,0.00,8.23,0.00,0.00,1905.37,-0.00,-0.00,-0.00,-0.00,0.00,0.00,8.00
11783.00,0.00,0.00,-0.05,0.00,0.00,-5.00,0.00,0.00,-1017.34,-0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
11792.00,0.00,0.00,-0.03,0.00,0.00,2.03,0.00,0.00,780.88,0.00,-0.00,-0.00,0.00,0.00,0.00,8.00
11800.00,0.00,0.00,-0.07,0.00,0.00,-4.80,0.00,0.00,-854.04,0.00,-0.00,-0.00,-0.00,-0.00,0.00,6.00
11806.00,0.00,0.00,0.06,0.00,0.00,20.81,0.00,0.00,4268.31,-0.00,-0.00,-0.00,-0.00,0.00,0.00,6.00
11812.00,0.00,0.00,0.04,0.00,0.00,-1.96,0.00,0.00,-3793.89,-0.00,-0.00,-0.00,-0.00,0.00,0.00,9.00
11821.00,0.00,0.00,0.01,0.00,0.00,-3.46,0.00,0.00,-167.34,-0.00,-0.00,-0.00,0.00,0.00,-0.00,8.00
11829.00,0.00,0.00,-0.06,0.00,0.00,-9.74,0.00,0.00,-784.87,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,16.00
11845.00,0.00,0.00,-0.03,0.00,0.00,1.93,0.00,0.00,729.62,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,7.00
