Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11526.00,0.00,0.00,0.13,0.00,0.00,0.21,0.00,0.00,-1042.32,-0.00,0.00,-0.00,-0.00,0.00,0.00,7.00
11533.00,0.00,0.00,-0.03,0.00,0.00,-23.13,0.00,0.00,-3334.05,-0.00,0.00,-0.00,-0.00,0.00,0.00,6.00
11539.00,0.00,0.00,0.02,0.00,0.00,9.04,0.00,0.00,5361.85,-0.00,0.00,-0.00,0.00,0.00,0.00,9.00
11548.00,0.00,0.00,0.08,0.00,0.00,6.81,0.00,0.00,-247.58,-0.00,0.00,-0.00,0.00,-0.00,-0.00,7.00
11555.00,0.00,0.00,0.02,0.00,0.00,-9.24,0.00,0.00,-2292.46,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11561.00,0.00,0.00,-0.15,0.00,0.00,-27.11,0.00,0.00,-2979.57,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,7.00
11568.00,0.00,0.00,0.01,0.00,0.00,21.95,0.00,0.00,7009.55,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11576.00,0.00,0.00,-0.06,0.00,0.00,-8.76,0.00,0.00,-3839.60,-0.00,-0.00,-0.00,0.00,-0.00,0.00,5.00
11581.00,0.00,0.00,-0.03,0.00,0.00,5.76,0.00,0.00,2904.14,-0.00,-0.00,-0.00,0.00,-0.00,0.00,8.00
11589.00,0.00,0.00,-0.09,0.00,0.00,-7.46,0.00,0.00,-1652.78,-0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
11601.00,0.00,0.00,0.03,0.00,0.00,10.11,0.00,0.00,1464.37,-0.00,-0.00,-0.00,0.00,0.00,0.00,18.00
11619.00,0.00,0.00,0.05,0.00,0.00,1.14,0.00,0.00,-498.13,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,9.00
11628.00,0.00,0.00,-0.03,0.00,0.00,-8.45,0.00,0.00,-1065.88,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,5.00
11633.00,0.00,0.00,-0.03,0.00,0.00,-1.35,0.00,0.00,1419.83,-0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
11640.00,0.00,0.00,0.07,0.00,0.00,14.89,0.00,0.00,2320.84,-0.00,-0.00,-0.00,0.00,0.00,-0.00,6.00
11646.00,0.00,0.00,0.06,0.00,0.00,-2.39,0.00,0.00,-2880.08,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11652.00,0.00,0.00,-0.00,0.00,0.00,-9.99,0.00,0.00,-1266.44,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,7.00
11659.00,0.00,0.00,0.04,0.00,0.00,6.23,0.00,0.00,2316.87,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11667.00,0.00,0.00,0.02,0.00,0.00,-2.31,0.00,0.00,-1068.03,-0.00,-0.00,-0.00,-0.00,0.00,0.00,6.00
11673.00,0.00,0.00,0.02,0.00,0.00,0.37,0.00,0.00,446.62,-0.00,-0.00,-0.00,-0.00,0.00,0.00,7.00
11685.00,0.00,0.00,0.05,0.00,0.00,2.52,0.00,0.00,179.54,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,16.00
11701.00,0.00,0.00,-0.02,0.00,0.00,-4.75,0.00,0.00,-454.55,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,8.00
11709.00,0.00,0.00,0.12,0.00,0.00,17.45,0.00,0.00,2774.85,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,8.00
11717.00,0.00,0.00,0.07,0.00,0.00,-6.06,0.00,0.00,-2938.27,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,7.00
11724.00,0.00,0.00,0.04,0.00,0.00,-4.69,0.00,0.00,195.57,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
11730.00,0.00,0.00,0.10,0.00,0.00,10.85,0.00,0.00,2589.67,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
11736.00,0.00,0.00,0.16,0.00,0.00,9.12,0.00,0.00,-288.73,-0.00,-0.00,-0.00,0.00,-0.00,0.00,5.00
11741.00,0.00,0.00,0.02,0.00,0.00,-27.45,0.00,0.00,-7313.21,-0.00,-0.00,-0.00,0.00,-0.00,0.00,8.00
11749.00,0.00,0.00,0.05,0.00,0.00,4.26,0.00,0.00,3963.25,-0.00,-0.00,-0.00,0.00,0.00,0.00,8.00
11757.00,0.00,0.00,0.05,0.00,0.00,0.19,0.00,0.00,-507.90,-0.00,-0.00,-0.00,0.00,0.00,-0.00,6.00
11768.00,0.00,0.00,-0.06,0.00,0.00,-10.76,0.00,0.00,-995.93,-0.00,-0.00,-0.00,-0.00,0.00,0.00,6.00
11774.00,0.00,0.00,-0.02,0.00,0.00,7.84,0.00,0.00,3100.33,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,6.00
11780.00,0.00,0.00,0.02,0.00,0.00,5.87,0.00,0.00,-327.98,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,6.00
11786.00,0.00,0.00,-0.00,0.00,0.00,-3.28,0.00,0.00,-1525.15,-0.00,-0.00,-0.00,-0.00,0.00,0.00,5.00
11791.00,0.00,0.00,-0.02,0.00,0.00,-4.61,0.00,0.00,-265.53,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,18.00
11809.00,0.00,0.00,-0.07,0.00,0.00,-2.73,0.00,0.00,103.97,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,8.00
11817.00,0.00,0.00,-0.10,0.00,0.00,-2.74,0.00,0.00,-1.31,-0.00,-0.00,-0.00,-0.00,0.00,0.00,5.00
11822.00,0.00,0.00,0.12,0.00,0.00,43.23,0.00,0.00,9195.50,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,8.00
11830.00,0.00,0.00,0.04,0.00,0.00,-10.08,0.00,0.00,-6664.66,-0.00,-0.00,-0.00,0.00,-0.01,0.00,5.00
11835.00,0.00,0.00,-0.03,0.00,0.00,-13.13,0.00,0.00,-608.74,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,6.00
11846.00,0.00,0.00,-0.01,0.00,0.00,1.26,0.00,0.00,1308.38,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
11852.00,0.00,0.00,0.14,0.00,0.00,24.73,0.00,0.00,3911.33,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
11859.00,0.00,0.00,-0.04,0.00,0.00,-25.19,0.00,0.00,-7131.49,-0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
11868.00,0.00,0.00,-0.00,0.00,0.00,4.37,0.00,0.00,3283.89,-0.00,-0.00,-0.00,0.00,0.00,0.00,5.00
11873.00,0.00,0.00,0.06,0.00,0.00,11.67,0.00,0.00,1459.84,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
11880.00,0.00,0.00,-0.01,0.00,0.00,-9.46,0.00,0.00,-3017.98,-0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
11886.00,0.00,0.00,0.07,0.00,0.00,12.61,0.00,0.00,3679.07,-0.00,-0.00,-0.00,-0.00,-0.01,0.00,15.00
11901.00,0.00,0.00,0.03,0.00,0.00,-2.32,0.00,0.00,-995.67,-0.00,-0.00,-0.00,0.00,0.00,0.00,8.00
11909.00,0.00,0.00,0.06,0.00,0.00,3.93,0.00,0.00,780.77,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11917.00,0.00,0.00,0.00,0.00,0.00,-7.54,0.00,0.00,-1433.67,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,6.00
11933.00,0.00,0.00,0.02,0.00,0.00,0.74,0.00,0.00,517.62,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
11940.00,0.00,0.00,0.12,0.00,0.00,14.44,0.00,0.00,1957.52,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,8.00
11948.00,0.00,0.00,0.03,0.00,0.00,-11.41,0.00,0.00,-3230.81,-0.00,-0.00,-0.00,0.00,0.00,-0.00,5.00
11953.00,0.00,0.00,0.02,0.00,0.00,-1.68,0.00,0.00,1946.09,-0.00,-0.00,-0.00,-0.00,0.00,0.00,7.00
11960.00,0.00,0.00,0.07,0.00,0.00,7.53,0.00,0.00,1315.07,-0.00,-0.00,-0.00,-0.00,0.00,0.00,9.00
11969.00,0.00,0.00,0.00,0.00,0.00,-7.26,0.00,0.00,-1643.58,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,7.00
