Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
17213.00,0.00,0.00,0.04,0.00,0.00,2.53,0.00,0.00,158.33,0.00,-0.00,-0.00,0.00,-0.00,-0.00,10.00
17229.00,0.00,0.00,0.04,0.00,0.00,0.17,0.00,0.00,-147.44,0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
17239.00,0.00,0.00,0.06,0.00,0.00,1.99,0.00,0.00,181.87,0.00,-0.00,-0.00,-0.00,0.00,0.00,10.00
17249.00,0.00,0.00,0.08,0.00,0.00,1.71,0.00,0.00,-28.15,0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
17259.00,0.00,0.00,0.09,0.00,0.00,1.06,0.00,0.00,-64.83,0.00,-0.00,0.00,0.00,-0.00,0.00,10.00
17269.00,0.00,0.00,0.07,0.00,0.00,-1.81,0.00,0.00,-286.94,0.00,-0.00,0.00,-0.00,-0.00,-0.00,10.00
17279.00,0.00,0.00,0.05,0.00,0.00,-2.77,0.00,0.00,-96.82,0.00,-0.00,0.00,0.00,-0.00,0.00,19.00
17298.00,0.00,0.00,0.00,0.00,0.00,-2.31,0.00,0.00,24.49,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,10.00
17308.00,0.00,0.00,0.08,0.00,0.00,8.00,0.00,0.00,1031.28,-0.00,-0.00,-0.00,0.00,0.00,0.00,10.00
17318.00,0.00,0.00,-0.02,0.00,0.00,-10.07,0.00,0.00,-1807.41,-0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
17328.00,0.00,0.00,-0.01,0.00,0.00,1.06,0.00,0.00,1112.56,-0.00,-0.00,-0.00,-0.00,0.00,0.00,10.00
17343.00,0.00,0.00,0.12,0.00,0.00,8.39,0.00,0.00,488.70,-0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
17353.00,0.00,0.00,0.06,0.00,0.00,-5.53,0.00,0.00,-1391.08,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,10.00
17363.00,0.00,0.00,0.01,0.00,0.00,-5.32,0.00,0.00,20.66,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,10.00
17373.00,0.00,0.00,0.09,0.00,0.00,8.15,0.00,0.00,1347.19,-0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
17383.00,0.00,0.00,0.11,0.00,0.00,1.63,0.00,0.00,-652.63,-0.00,0.00,-0.00,0.00,0.00,-0.00,17.00
17400.00,0.19,-0.00,-0.05,0.93,-0.00,-9.17,4.59,-0.01,-634.95,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17410.00,0.19,-0.00,0.08,0.93,-0.00,12.64,4.59,-0.01,2180.89,-0.00,0.00,-0.00,0.00,0.00,0.00,10.00
17420.00,0.19,-0.00,0.17,0.93,-0.00,9.80,4.59,-0.01,-284.32,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17430.00,0.19,-0.00,0.09,0.93,-0.00,-8.22,4.59,-0.01,-1802.03,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17440.00,0.19,-0.00,-0.02,0.93,-0.00,-11.03,4.59,-0.01,-281.15,-0.00,0.00,-0.00,-0.00,0.00,0.00,10.00
17454.00,0.19,-0.00,0.11,0.93,-0.00,9.36,4.59,-0.01,1456.48,-0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
17464.00,0.19,-0.00,0.03,0.93,-0.00,-8.27,4.59,-0.01,-1762.46,-0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
17474.00,0.19,-0.00,0.05,0.93,-0.00,1.96,4.59,-0.01,1022.67,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17484.00,0.19,-0.00,0.01,0.93,-0.00,-4.22,4.59,-0.01,-617.54,-0.00,0.00,-0.00,-0.00,0.00,-0.00,16.00
17500.00,0.19,-0.00,-0.01,0.93,-0.00,-1.36,4.59,-0.01,178.74,-0.00,0.00,-0.00,-0.00,-0.00,0.00,10.00
17510.00,0.19,-0.00,0.01,0.93,-0.00,2.12,4.59,-0.01,347.15,-0.00,0.00,-0.00,0.00,0.00,0.00,10.00
17520.00,0.19,-0.00,0.07,0.93,-0.00,6.14,4.59,-0.01,402.44,-0.00,0.00,-0.00,0.00,0.00,0.00,10.00
17530.00,0.19,-0.00,0.13,0.93,-0.00,5.65,4.59,-0.01,-48.85,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17540.00,0.19,-0.00,0.06,0.93,-0.00,-6.32,4.59,-0.01,-1197.33,-0.00,0.00,-0.00,0.00,-0.00,-0.00,10.00
17550.00,0.19,-0.00,0.03,0.93,-0.00,-3.52,4.59,-0.01,279.79,-0.00,0.00,-0.00,0.00,-0.00,-0.00,10.00
17565.00,0.19,-0.00,-0.00,0.93,-0.00,-2.09,4.59,-0.01,95.77,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17575.00,0.19,-0.00,-0.02,0.93,-0.00,-1.62,4.59,-0.01,46.34,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
17585.00,0.19,-0.00,0.06,0.93,-0.00,7.98,4.59,-0.01,960.71,-0.00,0.00,-0.00,0.00,-0.00,0.00,16.00
17601.00,0.38,0.02,0.07,0.94,0.11,0.37,0.05,0.57,-475.67,-0.00,0.00,-0.00,-0.00,-0.00,0.00,10.00
17611.00,0.38,0.02,0.06,0.94,0.11,-0.51,0.05,0.57,-88.45,-0.00,0.00,-0.00,-0.00,-0.00,0.00,10.00
17621.00,0.38,0.02,0.04,0.94,0.11,-1.97,0.05,0.57,-145.93,-0.00,0.00,-0.00,-0.00,0.00,0.00,10.00
17631.00,0.38,0.02,0.08,0.94,0.11,3.65,0.05,0.57,562.38,-0.00,0.00,-0.00,-0.00,0.00,0.00,10.00
