Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11582.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
11598.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
11608.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,10.00
11618.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,10.00
11628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,10.00
11638.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,10.00
11648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,17.00
11665.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,10.00
11675.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,10.00
11685.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,10.00
11695.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,10.00
11710.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,10.00
11720.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
11730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,10.00
11740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
11750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,16.00
11766.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,10.00
11776.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,10.00
11786.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.08,10.00
11796.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.08,10.00
11806.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.08,10.00
11821.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.08,10.00
11831.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.08,10.00
11841.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,-0.00,-0.00,-0.08,16.00
11857.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.00,0.00,-0.08,10.00
11867.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.00,-0.00,-0.08,10.00
11877.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.00,0.00,-0.08,10.00
11887.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.00,0.00,-0.08,10.00
11897.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.00,0.00,-0.08,10.00
11907.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,-0.00,-0.00,-0.08,10.00
11917.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,-0.00,-0.00,-0.08,10.00
11931.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,-0.00,-0.00,-0.08,10.00
11941.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.01,0.00,-0.00,-0.08,10.00
11951.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.01,0.00,-0.00,-0.08,16.00
11967.00,0.10,-0.23,386.68,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,-0.02,-0.00,-0.00,-0.08,10.00
11977.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.02,-0.00,-0.00,-0.08,10.00
11987.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.02,-0.00,0.00,-0.15,10.00
11997.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.02,-0.00,-0.00,-0.15,10.00
12007.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.02,0.00,-0.00,-0.15,10.00
12017.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.02,0.00,0.00,-0.15,10.00
12027.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.02,-0.00,0.00,-0.15,10.00
12041.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.03,-0.00,0.00,-0.15,17.00
12058.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.15,10.00
12068.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.15,10.00
12078.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.03,0.00,-0.00,-0.15,10.00
12088.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.15,10.00
12098.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.15,10.00
12108.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.15,10.00
12118.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.15,10.00
12128.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.04,0.00,0.00,-0.15,10.00
12138.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.04,-0.00,0.00,-0.15,17.00
12159.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.04,-0.00,0.00,-0.15,10.00
12169.00,0.20,-0.46,386.45,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.05,-0.00,0.00,-0.15,10.00
12179.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.05,-0.00,0.00,-0.15,10.00
12189.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.05,0.00,-0.00,-0.22,10.00
12199.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.05,-0.00,-0.00,-0.23,10.00
12209.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.05,0.00,0.00,-0.22,10.00
12219.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.06,-0.00,0.00,-0.23,10.00
12229.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.06,0.00,0.00,-0.22,10.00
12239.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.06,0.00,0.00,-0.22,10.00
12249.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.06,-0.00,0.00,-0.22,16.00
12270.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.07,-0.00,0.00,-0.22,10.00
12280.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.07,-0.00,0.00,-0.22,10.00
12290.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.07,0.00,0.00,-0.22,10.00
12300.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.07,0.00,0.00,-0.22,10.00
12310.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.08,-0.00,0.00,-0.22,10.00
12320.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.08,0.00,-0.00,-0.22,10.00
12330.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.08,-0.00,0.00,-0.22,10.00
12340.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.08,0.00,0.00,-0.22,16.00
12356.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.09,0.00,0.00,-0.22,10.00
12366.00,0.26,-0.67,386.24,-0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.09,0.00,0.00,-0.22,10.00
12381.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.09,0.00,0.00,-0.22,10.00
12391.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.09,0.00,0.00,-0.29,10.00
12401.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.10,-0.00,0.00,-0.29,10.00
12411.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.10,0.00,0.00,-0.29,10.00
12421.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.10,0.00,0.00,-0.29,10.00
12431.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.11,0.00,0.00,-0.29,10.00
12441.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.11,0.00,0.00,-0.29,10.00
12451.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.11,0.00,-0.00,-0.29,16.00
12467.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.12,-0.00,0.00,-0.29,10.00
12477.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.12,0.00,0.00,-0.29,10.00
12496.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.13,0.00,0.00,-0.29,10.00
12506.00,0.31,-0.86,386.05,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.13,-0.00,0.00,-0.29,10.00
