Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
11766.00,0.00,0.00,0.08,0.00,0.00,15.75,0.00,0.00,3149.93,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11779.00,0.00,0.00,0.03,0.00,0.00,-4.03,0.00,0.00,-1521.46,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,16.00
11795.00,0.00,0.00,0.07,0.00,0.00,2.87,0.00,0.00,430.91,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
11802.00,0.00,0.00,0.07,0.00,0.00,-0.07,0.00,0.00,-419.36,0.00,-0.00,-0.00,0.00,0.00,0.00,8.00
11810.00,0.00,0.00,0.06,0.00,0.00,-1.18,0.00,0.00,-138.77,0.00,-0.00,-0.00,-0.00,0.00,0.00,6.00
11816.00,0.00,0.00,0.07,0.00,0.00,1.15,0.00,0.00,387.91,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11822.00,0.00,0.00,0.19,0.00,0.00,19.80,0.00,0.00,3108.65,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11830.00,0.00,0.00,0.10,0.00,0.00,-11.09,0.00,0.00,-3860.86,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,8.00
11838.00,0.00,0.00,0.05,0.00,0.00,-5.86,0.00,0.00,653.69,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11844.00,0.00,0.00,0.08,0.00,0.00,5.41,0.00,0.00,1878.85,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,7.00
11851.00,0.00,0.00,0.13,0.00,0.00,7.01,0.00,0.00,228.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,9.00
11865.00,0.00,0.00,0.13,0.00,0.00,-0.34,0.00,0.00,-524.72,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,8.00
11873.00,0.00,0.00,0.04,0.00,0.00,-11.67,0.00,0.00,-1416.36,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,7.00
11880.00,0.00,0.00,0.14,0.00,0.00,14.90,0.00,0.00,3794.77,-0.00,-0.00,-0.00,0.00,0.00,0.00,18.00
11898.00,0.00,0.00,0.14,0.00,0.00,0.12,0.00,0.00,-821.05,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
11904.00,0.00,0.00,0.13,0.00,0.00,-2.31,0.00,0.00,-405.21,-0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
11911.00,0.00,0.00,0.10,0.00,0.00,-3.65,0.00,0.00,-190.61,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,6.00
11917.00,0.00,0.00,0.08,0.00,0.00,-3.98,0.00,0.00,-55.19,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,5.00
11922.00,0.00,0.00,0.09,0.00,0.00,1.62,0.00,0.00,1119.84,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,9.00
